firearms in civilian possession,Registered firearms,Unregistered firearms,Gun Death Rate,Suicide Rate by Firearm,Unintentional Deaths by Firearms, Police Killing (per 10M),The regulation of guns
2731000.0,1870735.0,860265.0,4.45,0.4,0.81,32.3,1.0
5000.0,0.0,0.0,0.45,0.55,0.15,20.0,1.0
717000.0,0.0,0.0,1.07,1.14,0.32,0.0,1.0
1337000.0,7000.0,1330000.0,0.0,0.0,0.0,0.0,0.0
1049000.0,2500.0,1046500.0,1.83,0.28,0.37,0.0,1.0
2000.0,0.0,0.0,0.17,0.09,0.02,0.0,0.0
97000.0,32901.0,64099.0,15.55,0.73,0.56,30.0,1.0
1000.0,0.0,0.0,0.29,0.21,0.08,0.0,1.0
4000.0,0.0,0.0,0.09,2.64,0.05,0.0,1.0
11000.0,4700.0,6300.0,0.22,0.61,0.05,0.0,0.0
362000.0,0.0,0.0,0.99,3.4,0.07,0.0,1.0
49735000.0,680000.0,49055000.0,0.0,0.0,0.0,0.0,0.0
22000.0,0.0,0.0,0.46,0.27,1.09,0.0,0.0
265000.0,0.0,0.0,2.36,0.62,0.72,0.0,1.0
3776000.0,1739000.0,2037000.0,0.38,0.09,0.2,0.0,1.0
10000.0,3000.0,7000.0,3.37,0.61,0.42,0.0,0.0
61000.0,0.0,0.0,1.18,1.21,0.19,0.0,1.0
2000.0,0.0,0.0,0.1,0.43,0.1,1.7,0.0
6000.0,0.0,0.0,0.23,0.26,0.02,2.7,1.0
4000.0,2865.0,1135.0,0.0,0.0,0.0,0.0,0.0
7000.0,0.0,0.0,0.15,0.87,0.06,2.1,1.0
1000.0,300.0,700.0,2.9,0.3,0.3,522.7,1.0
6154000.0,0.0,0.0,2.83,0.38,0.69,0.0,0.0
43000.0,10550.0,32450.0,1.81,0.21,0.54,44.0,0.0
28000.0,0.0,0.0,0.12,0.11,0.11,0.0,0.0
215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121000.0,54663.0,66337.0,0.0,0.0,0.0,0.0,0.0
504000.0,284000.0,220000.0,0.0,0.0,0.0,0.0,0.0
171000.0,29237.0,141763.0,0.97,1.22,0.28,0.0,0.0
120000.0,0.0,0.0,0.07,1.35,0.02,1.9,1.0
455000.0,190685.0,264315.0,0.03,0.04,0.01,0.0,1.0
3000.0,0.0,0.0,0.93,0.32,0.23,25.2,0.0
4000.0,0.0,0.0,0.78,0.85,0.2,0.0,1.0
291000.0,20379.0,270621.0,5.01,0.06,0.63,0.0,0.0
442000.0,205347.0,236653.0,10.6,0.18,0.08,0.0,1.0
1000.0,0.0,0.0,1.16,0.18,0.27,0.0,1.0
506000.0,210000.0,296000.0,7.11,1.24,0.37,0.0,1.0
5468000.0,0.0,0.0,0.02,0.03,0.02,0.0,1.0
7000.0,0.0,0.0,1.44,0.12,0.96,0.0,1.0
968000.0,380000.0,588000.0,8.28,0.1,0.12,556.5,1.0
119000.0,0.0,0.0,0.08,0.15,0.04,0.5,1.0
402000.0,167102.0,234898.0,0.4,1.47,0.07,1.0,1.0
494000.0,35000.0,459000.0,19.72,0.85,0.42,0.0,1.0
877000.0,200000.0,677000.0,0.0,0.0,0.0,0.0,0.0
510000.0,0.0,0.0,0.13,0.05,0.07,0.0,0.0
0.0,0.0,0.0,0.98,0.89,0.09,0.0,0.0
0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0
234000.0,58150.0,175850.0,0.06,0.06,0.04,0.0,1.0
97000.0,0.0,0.0,0.72,0.72,0.19,0.0,1.0
218000.0,10982.0,207018.0,1.06,0.38,0.54,31.0,1.0
238000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633000.0,365845.0,267155.0,10.99,0.07,3.3,0.0,1.0
323000.0,7053.0,315947.0,9.14,0.3,1.33,56.2,0.0
94000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877000.0,0.0,0.0,9.11,0.15,1.48,181.8,1.0
1562000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12000.0,0.0,0.0,0.08,4.08,0.04,0.0,0.0
29000.0,0.0,0.0,0.17,0.29,0.98,0.0,0.0
750000.0,8136.0,741864.0,0.0,0.0,0.0,0.0,0.0
444000.0,34315.0,409685.0,0.44,0.56,0.61,0.0,0.0
6000.0,0.0,0.0,0.82,2.38,0.14,0.0,1.0
946000.0,216.0,945784.0,1.69,0.16,0.04,0.0,0.0
100.0,50.0,50.0,0.5,0.46,0.92,0.0,0.0
206000.0,0.0,0.0,0.01,0.02,0.01,0.0,1.0
56000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123000.0,3408.0,119592.0,0.25,0.92,0.19,0.0,1.0
151000.0,0.0,0.0,0.18,1.52,0.02,0.0,1.0
130000.0,0.0,0.0,1.91,1.8,0.56,0.0,1.0
0.0,0.0,0.0,5.06,0.63,1.97,0.0,0.0
79000.0,27043.0,51957.0,0.0,0.0,0.0,0.0,0.0
175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158000.0,86642.0,71358.0,4.87,0.71,0.5,76.9,1.0
6000.0,4309.0,1691.0,0.02,0.04,0.01,0.0,1.0
900.0,0.0,0.0,2.78,0.31,0.69,0.0,0.0
427000.0,115850.0,311150.0,0.13,0.45,0.06,0.0,1.0
58000.0,10000.0,48000.0,1.0,0.08,0.32,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
331000.0,21156.0,309844.0,0.51,0.27,0.32,32.1,1.0
300.0,48.0,252.0,2.89,1.09,0.75,0.0,1.0
400.0,250.0,150.0,0.25,1.22,0.03,1.0,1.0
168000.0,0.0,0.0,0.18,2.47,0.04,0.0,0.0
217000.0,142038.0,74962.0,1.0,0.12,0.12,819.0,0.0
700.0,0.0,0.0,1.54,0.15,0.43,0.0,0.0
5000.0,1538.0,3462.0,0.11,0.07,0.02,0.8,1.0
300.0,0.0,0.0,0.18,0.03,0.21,0.0,0.0
117000.0,2000.0,115000.0,2.22,0.36,0.57,0.0,0.0
100.0,0.0,0.0,3.11,0.55,0.1,0.0,1.0
0.0,0.0,0.0,19.72,0.21,0.11,0.0,0.0
0.0,0.0,0.0,0.24,0.45,0.68,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66000.0,0.0,0.0,2.51,0.55,0.62,0.0,0.0
35000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
659000.0,185000.0,474000.0,15.21,0.15,0.19,339.7,1.0
23000.0,0.0,0.0,0.2,0.16,0.32,0.0,1.0
377000.0,0.0,0.0,1.05,0.72,0.84,0.0,1.0
37000.0,9863.0,27137.0,0.62,0.12,0.35,0.0,0.0
23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
377000.0,175221.0,201779.0,2.2,0.26,0.49,0.0,1.0
76000.0,0.0,0.0,0.62,1.19,0.23,0.0,1.0
